RoadSegmentID,KerbsideID,RoadSegmentDescription,Latitude,Longitude,LastUpdated
22730,,Park Street between Mason Street and Randall Place,-37.8362447,144.9820214,2022-08-31
22730,,Park Street between Mason Street and Randall Place,-37.8358003,144.9821153,2022-08-31
20013,5701,Lonsdale Street between William Street and King Street,-37.8142382,144.9554505,2023-10-02
20013,23444,Lonsdale Street between William Street and King Street,-37.8142714,144.9553339,2023-10-02
22268,,Clowes Street between Anderson Street and Walsh Street,-37.8305678,144.9847127,2022-08-31
22295,,Anderson Street between Domain Road and Acland Street,-37.8336065,144.9837629,2022-08-31
22295,,Anderson Street between Domain Road and Acland Street,-37.8336566,144.9837527,2022-08-31
22295,,Anderson Street between Domain Road and Acland Street,-37.8338167,144.9837204,2022-08-31
21108,,Courtney Street between Queensberry Street and Howard Street,-37.8032617,144.955425,2022-08-31
20950,,Queensberry Street between Capel Street and Howard Street,-37.8035152,144.9547391,2022-08-31
22435,,Royal Parade between Leonard Street and Walker Street,-37.7851871,144.9595356,2022-08-31
21108,,Courtney Street between Queensberry Street and Howard Street,-37.802527,144.9548403,2022-08-31
20212,60217,Flinders Street between Russell Street and Swanston Street,-37.8169771,144.9687224,2023-08-15
20212,60218,Flinders Street between Russell Street and Swanston Street,-37.8169977,144.9686523,2023-08-15
20212,60219,Flinders Street between Russell Street and Swanston Street,-37.8170173,144.9685859,2023-08-15
20170,,Queen Street between Flinders Street and Flinders Lane,-37.8186914,144.9622825,2023-10-02
21291,,Gracie Street between Henderson Street and MacAulay Road,-37.7965225,144.9396489,2022-08-31
21291,,Gracie Street between Henderson Street and MacAulay Road,-37.7967544,144.9392506,2022-08-31
21291,,Gracie Street between Henderson Street and MacAulay Road,-37.7968537,144.9390799,2022-08-31
21291,,Gracie Street between Henderson Street and MacAulay Road,-37.7968868,144.939023,2022-08-31
21291,,Gracie Street between Henderson Street and MacAulay Road,-37.79692,144.9389661,2022-08-31
20167,,Elizabeth Street between Little Bourke Street and Lonsdale Street,-37.8125035,144.9624749,2023-10-02
21552,,Grattan Street between Flemington Road and Elizabeth Street,-37.7996551,144.9563735,2022-08-31
20144,,Exhibition Street between Lonsdale Street and Little Lonsdale Street,-37.8092421,144.969275,2023-10-02
20640,,Drummond Street between Palmerston Street and Princes Street,-37.7933797,144.9698282,2022-08-31
20847,,Grattan Street between Swanston Street and Bouverie Street,-37.8002942,144.9636048,2022-08-31
20472,,Berkeley Street between Queensberry Street and Pelham Street,-37.8029347,144.9588643,2022-08-31
20458,,Leicester Street between Queensberry Street and Pelham Street,-37.8029365,144.9605381,2023-04-27
20458,,Leicester Street between Queensberry Street and Pelham Street,-37.8029606,144.9605339,2023-04-27
22503,,Bouverie Street between Lincoln Square South and Pelham Street,-37.8025515,144.9619942,2022-08-31
20806,,Pelham Street between Cardigan Street and Swanston Street,-37.802476,144.9644337,2022-08-31
21847,50658,Spring Street between Little Lonsdale Street and Victoria Parade,-37.8081046,144.9715575,2023-09-20
21847,,Spring Street between Little Lonsdale Street and Victoria Parade,-37.8080651,144.9714089,2023-09-07
23082,,Serong Street between Bluestone Street and Bradfield Lane,-37.7885649,144.9251361,2022-08-31
23073,,Robertson Street between Rankins Road and Barnett Street,-37.7928412,144.9317726,2022-08-31
21043,,Munster Terrace between Queensberry Street and Arden Street,-37.8004795,144.9432123,2022-08-31
21479,,Rosslyn Street between Adderley Street and Spencer Street,-37.8097031,144.948721,2022-08-31
21479,,Rosslyn Street between Adderley Street and Spencer Street,-37.8098451,144.9484311,2022-08-31
21117,23810,Peel Street between Queensberry Street and Elizabeth Street,-37.8015921,144.956565,2022-08-31
21117,23813,Peel Street between Queensberry Street and Elizabeth Street,-37.8017527,144.9565369,2022-08-31
21117,23814,Peel Street between Queensberry Street and Elizabeth Street,-37.801804,144.9565277,2022-08-31
21120,13901,Bedford Street between Courtney Street and Peel Street,-37.802103,144.9563112,2022-08-31
21120,23819,Bedford Street between Courtney Street and Peel Street,-37.8022774,144.9560878,2022-08-31
21120,23822,Bedford Street between Courtney Street and Peel Street,-37.8023323,144.9560175,2022-08-31
21117,,Peel Street between Queensberry Street and Elizabeth Street,-37.8026738,144.9563956,2022-08-31
21117,,Peel Street between Queensberry Street and Elizabeth Street,-37.8027942,144.9563743,2022-08-31
21118,12379,Capel Street between Courtney Street and Bedford Street,-37.8029924,144.9557808,2022-08-31
21118,,Capel Street between Courtney Street and Bedford Street,-37.8026303,144.9557256,2022-08-31
21118,,Capel Street between Courtney Street and Bedford Street,-37.8028181,144.9556916,2022-08-31
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8039292,144.9556082,2022-08-31
20945,11368,Capel Street between Victoria Street and Queensberry Street,-37.8041969,144.9554508,2023-05-28
20945,11364,Capel Street between Victoria Street and Queensberry Street,-37.804097,144.9554688,2023-05-28
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8043807,144.9554178,2022-08-31
20945,11359,Capel Street between Victoria Street and Queensberry Street,-37.8039464,144.9554959,2023-05-28
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8050165,144.9553035,2022-08-31
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8046112,144.9553763,2022-08-31
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8046353,144.955372,2022-08-31
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8051395,144.9552814,2022-08-31
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8046593,144.9553677,2022-08-31
20945,,Capel Street between Victoria Street and Queensberry Street,-37.805164,144.955277,2022-08-31
20945,,Capel Street between Victoria Street and Queensberry Street,-37.8048388,144.9553354,2022-08-31
20945,11402,Capel Street between Victoria Street and Queensberry Street,-37.8054574,144.9552242,2023-05-28
20953,,Victoria Street between Peel Street and Capel Street,-37.8059125,144.9555632,2022-08-31
20937,,Peel Street between Victoria Street and Princess Street,-37.8054182,144.9562188,2022-08-31
20937,,Peel Street between Victoria Street and Princess Street,-37.8051586,144.955957,2022-08-31
20937,,Peel Street between Victoria Street and Princess Street,-37.8052122,144.9559475,2022-08-31
20938,,Peel Street between Princess Street and Queensberry Street,-37.8046498,144.956047,2022-08-31
20938,,Peel Street between Princess Street and Queensberry Street,-37.8044857,144.9563851,2022-08-31
20938,,Peel Street between Princess Street and Queensberry Street,-37.8045807,144.9563679,2022-08-31
20935,,Princess Street between Peel Street and Cobden Street,-37.8050629,144.9568975,2022-08-31
22452,23853,Harbour Esplanade between Bourke Street and La Trobe Street,-37.8158875,144.9454556,2022-08-31
22452,23854,Harbour Esplanade between Bourke Street and La Trobe Street,-37.8159499,144.9454832,2022-08-31
22452,,Harbour Esplanade between Bourke Street and La Trobe Street,-37.8165547,144.9457494,2022-08-31
